Contabilidad Nacional Trimestral de España. Base 2010
Producto interior bruto precios de mercado
PIB pm Demanda (Precios corrientes)
Datos corregidos de efectos estacionales y de calendario;Producto interior bruto a precios de mercado;Gasto en consumo final;Gasto en consumo final de los hogares;Gasto en consumo final interior de los hogares;Formación bruta de capital;Formación bruta de capital fijo;FBCF. Activos fijos materiales;FBCF. Activos fijos materiales. Construcción;FBCF. Activos fijos materiales. Bienes de equipo;FBCF. Activos fijos materiales.Recursos biológicos;FBCF. Productos de la propiedad intelectual;Exportaciones de bienes y servicios;Importaciones de bienes y servicios;Dato base;
1995T1;
244.843;183.132;138.333;144.105;76.302;75.432;70.152;52.136;17.811;205;5.280;61.260;75.851;2006T2;
249.484;186.991;141.683;147.570;77.868;77.508;72.105;53.804;18.146;155;5.403;62.262;77.637;2006T3;
254.757;189.847;143.372;149.195;79.550;78.954;73.370;54.562;18.674;134;5.584;62.002;76.642;2006T4;
258.890;192.172;144.829;150.678;81.737;81.112;75.345;55.835;19.378;132;5.767;65.179;80.198;2007T1;
264.021;196.085;147.200;153.113;83.072;82.204;76.303;55.963;20.049;291;5.901;68.309;83.445;2007T2;
268.238;200.210;150.605;156.351;84.407;84.006;77.927;57.393;20.252;282;6.079;68.547;84.926;2007T3;
271.917;203.254;152.352;158.189;84.730;83.831;77.602;56.652;20.674;276;6.229;69.780;85.847;2007T4;
276.631;207.333;155.667;161.749;86.467;85.511;79.213;57.849;21.078;286;6.298;71.215;88.384;2008T1;
279.465;210.777;156.980;163.113;85.651;84.689;78.184;57.051;20.787;346;6.505;71.167;88.130;2008T2;
280.470;211.992;157.477;163.492;85.139;83.951;77.369;55.654;21.363;352;6.582;72.788;89.449;2008T3;
279.626;211.046;155.455;161.446;81.866;80.875;74.280;53.900;20.034;346;6.595;72.765;86.051;2008T4;
276.646;209.246;153.117;158.947;77.696;76.549;69.928;50.973;18.614;341;6.621;65.869;76.165;2009T1;
271.870;206.372;149.351;154.930;67.646;71.048;64.562;47.986;16.209;367;6.486;59.498;61.646;2009T2;
269.882;205.036;147.455;153.175;65.810;64.251;57.937;43.101;14.466;370;6.314;60.401;61.365;2009T3;
268.670;206.909;148.615;154.146;66.228;63.998;57.444;42.234;14.854;356;6.554;62.145;66.612;2009T4;
268.612;208.057;149.589;155.179;65.389;63.202;56.580;41.067;15.142;371;6.622;62.614;67.448;2010T1;
269.644;208.252;149.906;155.515;64.739;63.150;56.177;40.055;15.818;304;6.973;65.103;68.450;2010T2;
270.089;210.673;152.349;157.950;64.543;62.810;55.655;39.313;16.040;302;7.155;67.532;72.659;2010T3;
270.520;210.417;152.369;158.211;63.254;61.953;54.770;38.262;16.216;292;7.183;69.919;73.070;2010T4;
270.660;211.128;153.357;159.337;62.013;61.074;53.805;36.915;16.599;291;7.269;73.293;75.774;2011T1;
270.186;210.965;152.969;159.283;60.949;59.337;52.160;35.313;16.564;283;7.177;77.070;78.798;2011T2;
269.727;211.932;154.111;160.796;59.360;58.028;50.766;34.122;16.367;277;7.262;76.219;77.784;2011T3;
267.916;210.477;153.005;159.565;58.073;57.139;49.914;33.157;16.472;285;7.225;77.817;78.451;2011T4;
267.318;208.850;151.754;158.392;57.173;55.767;48.481;31.988;16.215;278;7.286;78.469;77.174;2012T1;
265.825;208.607;152.252;158.878;54.714;54.221;46.987;30.956;15.745;286;7.234;79.288;76.784;2012T2;
263.940;208.261;152.594;159.275;53.381;52.699;45.486;30.072;15.120;294;7.213;77.985;75.687;2012T3;
263.770;207.121;152.038;159.013;52.828;51.277;43.957;28.984;14.671;302;7.320;81.082;77.261;2012T4;
261.623;201.752;151.112;157.897;52.013;50.161;42.942;28.165;14.473;304;7.219;81.527;73.669;2013T1;
262.161;203.618;149.432;156.363;50.100;49.277;42.149;27.603;14.219;327;7.128;79.856;71.413;2013T2;
262.139;203.273;149.349;156.396;49.281;48.057;40.786;25.551;14.898;337;7.271;83.868;74.283;2013T3;
261.971;203.608;149.572;156.750;49.615;48.546;41.339;25.419;15.574;346;7.207;83.916;75.168;2013T4;
262.910;204.033;151.184;158.331;49.896;48.430;41.182;24.949;15.880;353;7.248;83.433;74.452;2014T1;
262.974;205.583;151.340;158.694;49.765;48.404;41.019;24.656;15.996;367;7.385;83.021;75.395;2014T2;
264.013;207.220;153.143;160.377;50.536;48.957;41.496;24.588;16.538;370;7.461;83.418;77.161;2014T3;
265.102;207.867;153.414;160.510;51.009;49.395;41.894;24.708;16.803;383;7.501;86.543;80.317;
